# mu = 0.001, s = 1, trials requested = 1, runtime = 0:00:31
# "Time"	"Actual trials"	"Mean mutation"	"Average mean mutation"	"Average mutation variance"
0	1	0	0	0	
1	1	0.24	0.24	0.1824	
2	1	1.17	1.17	0.3411	
3	1	1.89	1.89	0.0979	
4	1	2.61	2.61	0.2579	
5	1	3	3	0.04	
6	1	3.01	3.01	0.0099	
7	1	3.52	3.52	0.2496	
8	1	4.05	4.05	0.0675	
9	1	5.39	5.39	0.4379	
10	1	5.98	5.98	0.0396	
11	1	5.98	5.98	0.0396	
12	1	5.98	5.98	0.0396	
13	1	6.31	6.31	0.2139	
14	1	6.95	6.95	0.0475	
15	1	6.99	6.99	0.0099	
16	1	6.99	6.99	0.0099	
17	1	7.05	7.05	0.0475	
18	1	8.58	8.58	0.5236	
19	1	9.07	9.07	0.0651	
20	1	9.92	9.92	0.0736	
21	1	9.99	9.99	0.0099	
22	1	10.3	10.3	0.21	
23	1	10.93	10.93	0.0651	
24	1	11.02	11.02	0.0396	
25	1	11.86	11.86	0.1204	
26	1	11.99	11.99	0.0099	
27	1	11.99	11.99	0.0099	
28	1	12.01	12.01	0.0099	
29	1	12.01	12.01	0.0099	
30	1	12.01	12.01	0.0099	
31	1	12.02	12.02	0.0196	
32	1	12.87	12.87	0.1131	
33	1	12.99	12.99	0.0099	
34	1	13.01	13.01	0.0099	
35	1	13.63	13.63	0.2331	
36	1	13.99	13.99	0.0099	
37	1	14.01	14.01	0.0099	
38	1	14.01	14.01	0.0099	
39	1	14.01	14.01	0.0099	
40	1	14.01	14.01	0.0099	
41	1	14.01	14.01	0.0099	
42	1	14.01	14.01	0.0099	
43	1	14.01	14.01	0.0099	
44	1	14.4	14.4	0.24	
45	1	15.09	15.09	0.1619	
46	1	15.95	15.95	0.0675	
47	1	16	16	0	
48	1	16.04	16.04	0.0384	
49	1	16.75	16.75	0.1875	
50	1	17.69	17.69	0.4139	
51	1	18.83	18.83	0.1411	
52	1	19.34	19.34	0.2244	
53	1	19.93	19.93	0.0651	
54	1	19.99	19.99	0.0099	
55	1	19.99	19.99	0.0099	
56	1	20.06	20.06	0.0564	
57	1	20.8	20.8	0.16	
58	1	21.47	21.47	0.2491	
59	1	21.97	21.97	0.0291	
60	1	22.26	22.26	0.1924	
61	1	23.06	23.06	0.0764	
62	1	23.89	23.89	0.0979	
63	1	25.19	25.19	0.5539	
64	1	26.66	26.66	0.3644	
65	1	26.99	26.99	0.0099	
66	1	27.01	27.01	0.0099	
67	1	27.01	27.01	0.0099	
68	1	27.02	27.02	0.0196	
69	1	27.54	27.54	0.2484	
70	1	28.48	28.48	0.3496	
71	1	29.03	29.03	0.0291	
72	1	29.98	29.98	0.0596	
73	1	30.62	30.62	0.2356	
74	1	31.06	31.06	0.0564	
75	1	31.9	31.9	0.09	
76	1	31.98	31.98	0.0196	
77	1	32.01	32.01	0.0099	
78	1	32.14	32.14	0.1204	
79	1	32.98	32.98	0.0196	
80	1	32.99	32.99	0.0099	
81	1	33.22	33.22	0.2116	
82	1	34.94	34.94	0.0964	
83	1	34.99	34.99	0.0099	
84	1	35.6	35.6	0.24	
85	1	35.96	35.96	0.0384	
86	1	35.99	35.99	0.0099	
87	1	36.01	36.01	0.0099	
88	1	36.35	36.35	0.2275	
89	1	37.62	37.62	0.3756	
90	1	38.53	38.53	0.3491	
91	1	38.95	38.95	0.1075	
92	1	38.97	38.97	0.0891	
93	1	38.97	38.97	0.0891	
94	1	39.39	39.39	0.2379	
95	1	39.96	39.96	0.0384	
96	1	40	40	0	
97	1	40	40	0	
98	1	40	40	0	
99	1	40.17	40.17	0.1411	
100	1	40.92	40.92	0.0736	
101	1	41	41	0	
102	1	41	41	0	
103	1	41.01	41.01	0.0099	
104	1	41.76	41.76	0.1824	
105	1	41.99	41.99	0.0499	
106	1	42.74	42.74	0.1924	
107	1	43.54	43.54	0.2684	
108	1	43.97	43.97	0.0491	
109	1	46.35	46.35	0.7475	
110	1	46.96	46.96	0.0584	
111	1	47.34	47.34	0.2244	
112	1	47.94	47.94	0.0564	
113	1	48.28	48.28	0.2016	
114	1	48.86	48.86	0.1204	
115	1	49.43	49.43	0.2451	
116	1	49.89	49.89	0.0979	
117	1	49.99	49.99	0.0099	
118	1	50.13	50.13	0.1131	
119	1	50.85	50.85	0.1275	
120	1	50.99	50.99	0.0099	
121	1	51.55	51.55	0.2475	
122	1	53.65	53.65	0.5875	
123	1	53.98	53.98	0.0196	
124	1	53.95	53.95	0.0475	
125	1	53.99	53.99	0.0099	
126	1	54.01	54.01	0.0099	
127	1	54.01	54.01	0.0099	
128	1	54.01	54.01	0.0099	
129	1	54.01	54.01	0.0099	
130	1	54.01	54.01	0.0099	
131	1	54.49	54.49	0.2499	
132	1	54.97	54.97	0.0291	
133	1	55.03	55.03	0.0291	
134	1	55.8	55.8	0.16	
135	1	55.97	55.97	0.0291	
136	1	55.99	55.99	0.0099	
137	1	55.99	55.99	0.0099	
138	1	56.07	56.07	0.0651	
139	1	57.78	57.78	0.3516	
140	1	57.99	57.99	0.0099	
141	1	58.01	58.01	0.0099	
142	1	58.61	58.61	0.2379	
143	1	58.96	58.96	0.0384	
144	1	58.99	58.99	0.0099	
145	1	59.62	59.62	0.2356	
146	1	59.9	59.9	0.09	
147	1	59.99	59.99	0.0099	
148	1	60.31	60.31	0.2139	
149	1	60.91	60.91	0.0819	
150	1	61.72	61.72	0.4616	
151	1	62.92	62.92	0.1136	
152	1	63	63	0	
153	1	63.03	63.03	0.0291	
154	1	63.87	63.87	0.1131	
